2022-11-14 15:21:18.592 | INFO     | base.middleware:logger_request:76 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:21:18.653 | INFO     | base.middleware:logger_request:76 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:21:55.643 | INFO     | base.middleware:logger_request:76 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:21:55.693 | INFO     | base.middleware:logger_request:76 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:27:31.045 | INFO     | base.middleware:logger_request:76 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:27:31.165 | INFO     | base.middleware:logger_request:76 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:38:59.431 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:38:59.559 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:39:27.638 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:39:27.775 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:39:29.690 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:39:29.743 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:39:30.549 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:39:30.594 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:39:30.919 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:39:30.965 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:39:31.121 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:39:31.169 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:39:31.268 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:39:31.308 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:39:31.429 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:39:31.469 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:39:31.601 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:39:31.645 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:39:31.744 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:39:31.783 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:39:31.909 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:39:31.951 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:39:32.983 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:39:33.022 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:39:34.027 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:39:34.069 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:39:34.802 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:39:34.843 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:39:35.922 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
